letter_grade,course_grade,Assig_1_full_40,Assig_2_full_40,Assig_3_full_40,proj_1_100,proj_2_100,proj_3_100,final_exam_100,peer_feedback_100,birth_country,residence_country,gender,age,primary_language,english_fluency,time_zone,occupation,highest_education,expected_hours_spent,formal_class_prog_taken,C,C#,C++,Java,JavaScript,Lisp,Objective C,Perl,PHP,Python,Ruby,Shell,Swift,Visual Basic,Other (specify below),years_programming,prior_omscs_classes_completed,besides_KBAI_how_many_classes,moocs_completed_outside_OMSCS,qtr_proj1_confidence,qtr_proj2_confidence,qtr_piazza_opinion,qtr_peerfeedback_opinion,qtr_on_piazza,qtr_email,qtr_hipchat,qrt_gplus,qtr_other_chat,qtr_phone,qtr_facebook,qtr_in_person,CS6210_Completed,CS8803_Completed,CS6250_Completed,CS7641_Completed,CS6300_Completed,CS6310_Completed,CS4495_Completed,CS6475_Completed,CS6505_Completed,CS6290_Completed,CS8803_Completed,CS6440_Completed,mid_proj2_confidence,mid_proj3_confidence,mid_piazza_opinion,mid_peerfeedback_opinion,mid_on_piazza,mid_email,mid_hipchat,qrt_gplus,mid_other_chat,mid_phone,mid_facebook,mid_in_person,final_proj3_confidence,hours_spent,lessons_watched,exercises_completed,forum_visit_frequency,final_on_piazza,final_email,final_hipchat,qrt_gplus,final_other_chat,final_phone,final_facebook,final_in_person,watch_out_order,fall_behind,get_ahead,rewatch_full_lesson,rewatch_partial_lesson,view_answer_after_1incorrect,repeat_exercise_until_correct,skip_exercise,correct_first_attempt,access_from_mobile,download_videos,piazza_answers,piazza_days,piazza_asks,piazza_posts,piazza_views,total_lecture_time,overal_lecture_views,lecture_1_views,lecture_2_views,lecture_3_views,lecture_4_views,lecture_5_views,lecture_6_views,lecture_7_views,lecture_8_views,lecture_9_views,lecture_10_views,lecture_11_views,lecture_12_views,lecture_13_views,lecture_14_views,lecture_15_views,lecture_16_views,lecture_17_views,lecture_18_views,lecture_19_views,lecture_20_views,lecture_21_views,lecture_22_views,lecture_23_views,lecture_24_views,lecture_25_views,lecture_26_views,lecture_1_pace,lecture_2_pace,lecture_3_pace,lecture_4_pace,lecture_5_pace,lecture_6_pace,lecture_7_pace,lecture_8_pace,lecture_9_pace,lecture_10_pace,lecture_11_pace,lecture_12_pace,lecture_13_pace,lecture_14_pace,lecture_15_pace,lecture_16_pace,lecture_17_pace,lecture_18_pace,lecture_19_pace,lecture_20_pace,lecture_21_pace,lecture_22_pace,lecture_23_pace,lecture_24_pace,lecture_25_pace,lecture_26_pace,overall_pace
0,18.77,14,15,17,43,16,11,0,7,USA,USA,M,25-34,English,Native speaker,North American,Primary Computing or Software,Bachelors Degree,9-12 hours per week,Yes,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,20,2,0,10,Very unconfident,Very unconfident,2 - Disagree,4 - Neither Agree nor Disagree,1,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No Answer,Somewhat unconfident,2 - Disagree,2 - Disagree,1,0,0,0,0,0,0,0,No answer,No answer,No answer,No answer,No answer,0,0,0,0,0,0,0,0,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,0,7,0,2,24,16808,0.453416149,1.136363636,1.060606061,1.176470588,1.157894737,0.96969697,1.068965517,1.047619048,1,1.09375,0.970588235,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Late,Late,Late,Late,Late,Late,On-time,On-time,On-time,Late,Early,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,65.34,33,36,25,90,73,64,93,14,USA,USA,M,18-24,English,Native speaker,North American,Primary Computing or Software,Bachelors Degree,18-21 hours per week,Yes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,0,10,Somewhat confident,Very confident,6 - Agree,7 - Strongly Agree,1,0,0,0,0,0,0,0,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Somewhat confident,Very confident,7 - Strongly Agree,7 - Strongly Agree,1,0,0,0,0,0,0,0,Somewhat confident,12 - 15 hours per week,All 26,Most of them,Multiple times daily,1,0,0,0,0,0,0,0,1 - Never,1 - Never,3 - Occasionally,2 - Rarely,3 - Occasionally,4 - Frequently,2 - Rarely,3 - Occasionally,4 - Frequently,Never,Rarely,0,137,1,33,636,55681,2.468944099,3.181818182,1.909090909,2.411764706,2.210526316,2.272727273,3.137931034,1.80952381,2.625,2.15625,2.176470588,2.333333333,2.041666667,3.72972973,2.222222222,2.636363636,2.15,3.388888889,2.233333333,2.103448276,2.1,1.947368421,2,2.25,4.833333333,2.5625,3.294117647,On-time,On-time,On-time,Early,Early,Early,Early,On-time,On-time,Late,Early,On-time,On-time,Early,Early,Early,On-time,Late,On-time,On-time,On-time,Early,On-time,Early,Early,Early,On-time
2,51.9,21,32,26,62,40,46,100,13,India,USA,M,35-44,Non-English,Native speaker,North American,Primary Computing or Software,Bachelors Degree,3-6 hours per week,Yes,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,12.5,2,0,0,Very confident,Very confident,6 - Agree,6 - Agree,1,0,0,0,0,0,0,0,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Very confident,Very confident,6 - Agree,6 - Agree,1,0,0,0,0,0,0,0,Very confident,3 - 6 hours per week,20 to 25,Most of them,Once per week,1,0,0,0,0,0,0,0,4 - Frequently,3 - Occasionally,3 - Occasionally,3 - Occasionally,4 - Frequently,3 - Occasionally,4 - Frequently,3 - Occasionally,4 - Frequently,Rarely,Rarely,0,0,0,0,0,44154,1.444099379,1.409090909,1.181818182,1.705882353,1.578947368,1.424242424,2.586206897,1.142857143,4.0625,1.125,0.705882353,2.416666667,0.833333333,0,0.111111111,1.318181818,2.95,2.388888889,2.633333333,2.034482759,1.1,0.368421053,1.352941176,1.458333333,0,0.9375,1.764705882,On-time,Late,Late,On-time,On-time,Late,Late,Late,Late,Late,Late,Late,Unknown,Late,On-time,On-time,On-time,On-time,Early,On-time,On-time,On-time,On-time,Early,Early,On-time,On-time
1,46.1,27,26,25,78,70,66,0,10,Other,Canada,M,Unknown,Unknown,Native speaker,Unknown,Non Primary Computing,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Answer,No Answer,No Answer,No Answer,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No answer,No answer,No answer,No answer,0,0,0,0,0,0,0,0,No answer,No answer,No answer,No answer,No answer,0,0,0,0,0,0,0,0,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,0,3,0,0,20,38364,1.986024845,4.227272727,2.090909091,2.294117647,2.631578947,1.606060606,4.344827586,3.904761905,2.75,2.9375,1.558823529,1.583333333,0,0.027027027,3.388888889,3.727272727,4.75,5.666666667,0,0.137931034,0,0,4.823529412,0,0,0,4.235294118,Late,Late,Late,Late,Late,Late,On-time,On-time,On-time,Late,On-time,Unknown,On-time,On-time,Early,Early,Late,Unknown,Late,Unknown,Unknown,On-time,Unknown,Unknown,Unknown,Early,Late
3,66.87,33,32,33,90,77,68,90,15,Other,USA,M,25-34,Non-English,Fully fluent non-native,North American,Primary Computing or Software,Bachelors Degree,12-15 hours per week,Yes,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,7.5,1,0,2.5,Somewhat confident,Somewhat confident,7 - Strongly Agree,7 - Strongly Agree,1,0,1,0,0,0,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,Somewhat confident,Somewhat confident,7 - Strongly Agree,7 - Strongly Agree,1,0,1,0,0,0,0,0,Very confident,9 - 12 hours per week,All 26,All of them,Multiple times daily,1,0,1,0,0,0,0,0,1 - Never,1 - Never,2 - Rarely,1 - Never,4 - Frequently,1 - Never,4 - Frequently,1 - Never,4 - Frequently,Rarely,Never,1,96,1,65,220,47704,2.206521739,2.181818182,1.696969697,2.205882353,1.526315789,2.393939394,1.931034483,1.714285714,1.875,1.625,2.294117647,1.958333333,2.145833333,2.216216216,3,1.818181818,2.5,2.5,2.366666667,2.517241379,2.15,3.210526316,2,2.041666667,2.416666667,3.25,2.882352941,On-time,On-time,On-time,Early,Early,On-time,On-time,On-time,On-time,Late,Early,On-time,On-time,On-time,On-time,On-time,Late,Late,On-time,On-time,On-time,On-time,On-time,Late,Early,Early,On-time
3,70.07,26,36,34,93,89,71,95,15,USA,USA,M,18-24,English,Native speaker,North American,Primary Computing or Software,Bachelors Degree,6-9 hours per week,Yes,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,4,0,0,1,Very confident,Very confident,7 - Strongly Agree,5 - Agree Slightly,0,1,0,0,0,0,0,1,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Somewhat confident,5 - Agree Slightly,2 - Disagree,1,1,0,0,0,0,0,0,Somewhat confident,6 - 9 hours per week,20 to 25,Most of them,Once per week,1,0,0,0,0,0,0,0,1 - Never,1 - Never,1 - Never,1 - Never,3 - Occasionally,1 - Never,5 - Always,1 - Never,4 - Frequently,Never,Never,0,80,0,9,355,39579,1.055900621,1.727272727,1.181818182,1.147058824,1.052631579,1.484848485,1.24137931,1.238095238,1,1.15625,0.941176471,1.208333333,1.104166667,1.081081081,1.055555556,1.318181818,1.15,1.5,1.366666667,0.068965517,0,0,1.176470588,1.375,0.083333333,0,1.823529412,On-time,Late,Late,On-time,On-time,On-time,On-time,On-time,On-time,On-time,Early,On-time,Late,On-time,On-time,On-time,On-time,On-time,Early,Unknown,Unknown,On-time,On-time,Early,Unknown,Early,On-time
2,53.74,31,27,36,56,45,48,100,9,India,USA,M,45-54,Non-English,Fully fluent non-native,North American,Primary Computing or Software,Masters Degree,12-15 hours per week,Yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.5,2,0,0,Neither confident nor unconfident,Neither confident nor unconfident,7 - Strongly Agree,7 - Strongly Agree,1,0,0,0,0,0,0,0,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Very confident,Somewhat unconfident,4 - Neither Agree nor Disagree,6 - Agree,1,0,0,0,0,0,0,0,Neither confident nor unconfident,18 - 21 hours per week,All 26,Most of them,A few times a week,1,0,0,0,0,0,0,0,1 - Never,2 - Rarely,1 - Never,4 - Frequently,2 - Rarely,5 - Always,4 - Frequently,1 - Never,4 - Frequently,Never,Rarely,1,98,1,19,241,57976,1.986024845,1.636363636,1.181818182,2.764705882,2,1.212121212,2.517241379,2.904761905,3.375,2.375,1.676470588,3.666666667,2.1875,1.513513514,2.333333333,1.454545455,2.2,1.944444444,1.633333333,1.655172414,1.65,1.473684211,1.117647059,2.208333333,1.666666667,2.125,1.470588235,On-time,On-time,On-time,Early,Early,Early,Early,Late,Late,Late,On-time,On-time,On-time,On-time,On-time,Late,Late,Late,On-time,On-time,On-time,On-time,On-time,Late,Early,Early,On-time
3,68.39,28,40,28,85,80,80,92,15,USA,USA,M,35-44,English,Native speaker,North American,Primary Computing or Software,Bachelors Degree,12-15 hours per week,Yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.5,2,0,2.5,Somewhat unconfident,Somewhat confident,4 - Neither Agree nor Disagree,1 - Strongly Disagree,1,0,0,0,0,0,0,0,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Very confident,Somewhat unconfident,2 - Disagree,2 - Disagree,1,0,0,0,0,0,0,0,Somewhat confident,12 - 15 hours per week,All 26,All of them,Once per week,1,0,0,0,0,0,0,0,1 - Never,2 - Rarely,1 - Never,3 - Occasionally,4 - Frequently,2 - Rarely,2 - Rarely,1 - Never,3 - Occasionally,Rarely,Never,0,93,0,22,164,54898,1.815217391,1.272727273,1.484848485,1.852941176,2.368421053,1.484848485,1.896551724,1.857142857,2.4375,1.875,1.647058824,2.125,1.354166667,1.27027027,2.888888889,2.045454545,2.8,3.222222222,1.366666667,1.482758621,1.9,1.263157895,2.058823529,1.541666667,3,1.6875,1.823529412,On-time,On-time,On-time,Early,On-time,On-time,Early,On-time,On-time,Late,Early,Early,Late,On-time,On-time,On-time,On-time,Late,On-time,On-time,On-time,On-time,Late,On-time,Early,Early,On-time
2,54.35,29,26,28,79,55,33,91,15,USA,USA,M,18-24,English,Native speaker,North American,Primary Computing or Software,Bachelors Degree,6-9 hours per week,Yes,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,7.5,2,0,1,Somewhat confident,Somewhat confident,5 - Agree Slightly,5 - Agree Slightly,1,1,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No answer,No answer,No answer,No answer,0,0,0,0,0,0,0,0,No answer,No answer,No answer,No answer,No answer,0,0,0,0,0,0,0,0,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,0,31,0,1,55,25845,1.010869565,1.954545455,2,1.823529412,1.315789474,1.090909091,1.206896552,2.285714286,2.375,1.53125,0.529411765,0.166666667,0.145833333,0.378378378,1.555555556,4,1.5,0.666666667,0.033333333,0.206896552,0,0.052631579,0,0,0,0.25,2.117647059,On-time,On-time,Late,Late,Late,Late,On-time,On-time,On-time,On-time,Late,Late,Late,Late,On-time,Late,Late,Late,Late,Unknown,Late,Unknown,Unknown,Unknown,Late,Early,Late
3,65.64,26,32,30,80,81,76,90,15,Other,Other,M,25-34,Non-English,Partially fluent,Asia,Primary Computing or Software,Bachelors Degree,3-6 hours per week,Yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,Neither confident nor unconfident,Somewhat unconfident,5 - Agree Slightly,3 - Disagree Slightly,1,0,0,0,0,0,0,0,No,No,No,No,Yes,No,No,No,No,No,No,No,Neither confident nor unconfident,Somewhat unconfident,4 - Neither Agree nor Disagree,2 - Disagree,1,0,0,0,0,0,0,0,Somewhat confident,21 or more hours per week,All 26,A few of them,Multiple times daily,1,0,0,0,0,0,0,0,3 - Occasionally,3 - Occasionally,2 - Rarely,3 - Occasionally,4 - Frequently,4 - Frequently,2 - Rarely,3 - Occasionally,3 - Occasionally,Never,Rarely,0,103,2,33,449,40989,1.318322981,1.5,2.060606061,1.735294118,1.263157895,1.696969697,2,1.80952381,1.375,1.84375,1.294117647,2.75,0.791666667,1.027027027,1,1.772727273,1.75,0.444444444,0.566666667,1.275862069,0.1,1.473684211,0,0.666666667,0.666666667,1.625,0.705882353,On-time,On-time,On-time,On-time,On-time,On-time,Early,On-time,On-time,Late,On-time,On-time,On-time,Early,Early,Early,Early,Early,On-time,Late,Late,Unknown,Late,On-time,Early,On-time,On-time
